"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","community"
"T212","41.681034931122895","-87.53343646731054","CDPH",FALSE,60617,17,31,550100,5,170315501005,"HEGEWISCH"
"T215","41.686489249898166","-87.53105981104665","CDPH",FALSE,60617,17,31,520500,3,170315205003,"EAST SIDE"
"T218","41.94850006410376","-87.73055318743594","CDPH",FALSE,60641,17,31,161000,2,170311610002,"IRVING PARK"
"T218A","41.95539067124719","-87.73104149885343","CDPH",TRUE,60641,17,31,160300,2,170311603002,"IRVING PARK"
"T218B","41.948589588728154","-87.74038844587119","CDPH",TRUE,60641,17,31,161100,2,170311611002,"IRVING PARK"
"T218C","41.93407498961357","-87.73795704448698","CDPH",TRUE,60641,17,31,200100,2,170312001002,"HERMOSA"
"T219","41.967085499658836","-87.67516072473471","CDPH",FALSE,60640,17,31,830800,1,170318308001,"LINCOLN SQUARE"
"T220","41.96440545399697","-87.69137039109717","CDPH",FALSE,60625,17,31,40800,1,170310408001,"LINCOLN SQUARE"
"T221","41.65923601846575","-87.61201512813366","CDPH",FALSE,60628,17,31,540102,1,170315401021,"RIVERDALE"
"T222","41.92528678345797","-87.74745912379434","CDPH",FALSE,60639,17,31,190800,3,170311908003,"BELMONT CRAGIN"
"T223","41.974522761157274","-87.80458946950488","CDPH",FALSE,60656,17,31,100700,5,170311007005,"NORWOOD PARK"
"T224","41.94704449504484","-87.67306105349785","CDPH",FALSE,60613,17,31,60300,2,170310603002,"LAKE VIEW"
"T225","41.7426704781299","-87.73155005887604","CDPH",FALSE,60652,17,31,700301,3,170317003013,"ASHBURN"
"T226","41.79436647814991","-87.64892513653469","CDPH",FALSE,60609,17,31,612100,1,170316121001,"NEW CITY"
"T227","41.728490033986375","-87.60852430813071","CDPH",FALSE,60619,17,31,440900,1,170314409001,"CHATHAM"
"T228","41.95366415238544","-87.72498719138876","CDPH",FALSE,60618,17,31,160900,2,170311609002,"IRVING PARK"
"T229","41.69022108817417","-87.63761637218968","CDPH",FALSE,60628,17,31,491200,3,170314912003,"ROSELAND"
"T230","41.904773447835936","-87.75568575289235","CDPH",FALSE,60651,17,31,250800,2,170312508002,"AUSTIN"
"T231","41.98788069188603","-87.66678507548095","CDPH",FALSE,60660,17,31,30500,2,170310305002,"EDGEWATER"
"T232","41.913051862687965","-87.66790523595525","CDPH",FALSE,60622,17,31,240200,1,170312402001,"WEST TOWN"
"T233","42.0106432736568","-87.80679730045945","CDPH",FALSE,60631,17,31,90200,1,170310902001,"EDISON PARK"
"T234","41.94285841518001","-87.76187938886866","CDPH",FALSE,60641,17,31,151100,4,170311511004,"PORTAGE PARK"
"T235","41.7748411153277","-87.72800581922763","CDPH",FALSE,60629,17,31,650301,4,170316503014,"WEST LAWN"
"T236","41.99496630402897","-87.77083721987879","CDPH",FALSE,60646,17,31,120100,3,170311201003,"FOREST GLEN"
"T237","41.73877389864867","-87.69635920361578","CDPH",FALSE,60652,17,31,700502,2,170317005022,"ASHBURN"
"T238","41.75348981635372","-87.70837786853586","CDPH",FALSE,60652,17,31,700100,1,170317001001,"ASHBURN"
"T240","41.91867575415674","-87.66437444367844","CDPH",FALSE,60614,17,31,832500,2,170318325002,"LINCOLN PARK"
"T240B","41.919193245183514","-87.66476075044069","CDPH",TRUE,60614,17,31,832500,2,170318325002,"LINCOLN PARK"
"T241","41.93053054160167","-87.76180737732278","CDPH",FALSE,60639,17,31,190701,1,170311907011,"BELMONT CRAGIN"
"T242","41.79168956384981","-87.78163597127872","CDPH",FALSE,60638,17,31,561100,6,170315611006,"GARFIELD RIDGE"
