"FID_wnv_tr","trap_name","rev_lat","rev_lng","nrows","latlng_cnt","wnv_presen","wnv_pres_1","Field8","wnv_absent","Field10","Field11","Field12","Field13","Field14","Field15","sd_Mosquit","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
161,"T234",41.9428584152,-87.7618793889,0,"FALSE",,0,,0,,,,,,,,22621,"60641","60641","B5","G6350","S",10468072,0,"+41.9466057","-087.7467867"
14,"T011",41.9459610945,-87.8329424735,0,"FALSE",,0,,0,,,,,,,,22257,"60634","60634","B5","G6350","S",18422451,24085,"+41.9461885","-087.8061174"
151,"T224",41.947044495,-87.6730610535,0,"FALSE",,0,,0,,,,,,,,21189,"60613","60613","B5","G6350","S",5632034,1114040,"+41.9569485","-087.6542721"
142,"T218",41.9485000641,-87.7305531874,0,"FALSE",,0,,0,,,,,,,,22621,"60641","60641","B5","G6350","S",10468072,0,"+41.9466057","-087.7467867"
144,"T218B",41.9485895887,-87.7403884459,0,"TRUE",,0,,0,,,,,,,,22621,"60641","60641","B5","G6350","S",10468072,0,"+41.9466057","-087.7467867"
4,"T002B",41.9515353225,-87.7898352633,0,"TRUE",,0,,0,,,,,,,,22257,"60634","60634","B5","G6350","S",18422451,24085,"+41.9461885","-087.8061174"
22,"T019",41.9516671503,-87.6980278905,0,"FALSE",,0,,0,,,,,,,,21541,"60618","60618","B5","G6350","S",12942883,165560,"+41.9475679","-087.7026468"
113,"T142",41.9535401208,-87.7769390418,0,"FALSE",,0,,0,,,,,,,,22257,"60634","60634","B5","G6350","S",18422451,24085,"+41.9461885","-087.8061174"
155,"T228",41.9536641524,-87.7249871914,0,"FALSE",,0,,0,,,,,,,,21541,"60618","60618","B5","G6350","S",12942883,165560,"+41.9475679","-087.7026468"
1,"T001",41.9542824563,-87.7338428755,0,"FALSE",,0,,0,,,,,,,,22621,"60641","60641","B5","G6350","S",10468072,0,"+41.9466057","-087.7467867"
5,"T002B.2",41.955269343,-87.7970476543,0,"TRUE",,0,,0,,,,,,,,22257,"60634","60634","B5","G6350","S",18422451,24085,"+41.9461885","-087.8061174"
143,"T218A",41.9553906712,-87.7310414989,0,"TRUE",,0,,0,,,,,,,,22621,"60641","60641","B5","G6350","S",10468072,0,"+41.9466057","-087.7467867"
2,"T002",41.9562988561,-87.7975174448,0,"FALSE",,0,,0,,,,,,,,22257,"60634","60634","B5","G6350","S",18422451,24085,"+41.9461885","-087.8061174"
117,"T146",41.9580055336,-87.7021810746,0,"FALSE",,0,,0,,,,,,,,21541,"60618","60618","B5","G6350","S",12942883,165560,"+41.9475679","-087.7026468"
116,"T145",41.9599025,-87.6694229,0,"FALSE",,0,,0,,,,,,,,21189,"60613","60613","B5","G6350","S",5632034,1114040,"+41.9569485","-087.6542721"
112,"T141",41.9615843646,-87.7606167025,0,"FALSE",,0,,0,,,,,,,,21872,"60630","60630","B5","G6350","S",12365865,3028,"+41.9720714","-087.7565695"
20,"T017",41.9620146383,-87.6468477257,0,"FALSE",,0,,0,,,,,,,,22619,"60640","60640","B5","G6350","S",6247489,642403,"+41.9728721","-087.6626039"
7,"T004",41.9626156097,-87.7510352656,0,"FALSE",,0,,0,,,,,,,,21872,"60630","60630","B5","G6350","S",12365865,3028,"+41.9720714","-087.7565695"
147,"T220",41.964405454,-87.6913703911,0,"FALSE",,0,,0,,,,,,,,21852,"60625","60625","B5","G6350","S",10035096,87870,"+41.9730757","-087.7003620"
6,"T003",41.9653748588,-87.7584117152,0,"FALSE",,0,,0,,,,,,,,21872,"60630","60630","B5","G6350","S",12365865,3028,"+41.9720714","-087.7565695"
3,"T002A",41.9654142249,-87.7821188853,0,"TRUE",,0,,0,,,,,,,,21872,"60630","60630","B5","G6350","S",12365865,3028,"+41.9720714","-087.7565695"
146,"T219",41.9670854997,-87.6751607247,0,"FALSE",,0,,0,,,,,,,,22619,"60640","60640","B5","G6350","S",6247489,642403,"+41.9728721","-087.6626039"
17,"T014",41.9701024108,-87.7891306453,0,"FALSE",,0,,0,,,,,,,,4448,"60656","60656","B5","G6350","S",8465225,0,"+41.9742800","-087.8271283"
170,"T900",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
171,"T901",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
172,"T902",41.9738886,-87.8907904,0,"FALSE",,0,,0,,,,,,,,16200,"60018","60018","B5","G6350","S",42517785,418357,"+41.9867946","-087.9031092"
